driver_id,avg_monthly_net_income,income_std,coefficient_of_variation,min_income,months_with_income,tenure_months,active_days_monthly,trips_per_day,trips_per_month,completion_rate,cancellation_rate,avg_rating,peak_hour_share,weekend_share,income_slope_3m,recent_vs_historical_income,estimated_disposable_income,requested_emi_to_income,target_default
syn_00033,47932.74,15869.87,0.3311,24127.93,12,23,21.4,14.7,313,0.905,0.0823,4.61,0.443,0.228,-0.1203,0.88,22948.52,0.2029,1
syn_00034,43446.37,14078.04,0.324,22329.3,12,16,22.0,12.3,270,0.8761,0.1389,4.6,0.582,0.253,-0.1192,0.881,19506.23,0.096,1
syn_00035,59218.8,9628.29,0.1626,44776.36,12,18,24.7,16.9,419,0.9833,0.0274,4.87,0.692,0.323,0.1067,1.107,28163.44,0.1109,0
syn_00036,55684.66,5046.19,0.0906,48115.37,12,37,22.9,14.2,324,0.9306,0.0169,4.9,0.567,0.243,-0.0136,0.986,23423.32,0.1097,0
syn_00037,53405.92,6355.45,0.119,43872.75,12,19,23.2,13.8,320,0.9284,0.033,4.8,0.668,0.215,0.0229,1.023,24669.32,0.141,0
syn_00038,71944.31,7614.08,0.1058,60523.19,12,42,23.5,16.3,383,0.9539,0.0409,4.83,0.585,0.424,0.0425,1.043,42638.76,0.1352,0
syn_00039,51429.5,7335.79,0.1426,40425.82,12,33,25.7,15.2,390,0.9388,0.0289,4.75,0.499,0.222,0.0144,1.014,27489.1,0.0953,0
syn_00040,71854.06,10090.63,0.1404,56718.11,12,35,22.9,15.6,356,0.9454,0.0423,4.88,0.341,0.238,0.0212,1.021,34406.96,0.1653,0
syn_00041,53970.14,6471.74,0.1199,44262.54,12,22,23.2,21.1,489,0.9256,0.0362,4.84,0.567,0.432,0.1465,1.146,28087.62,0.0743,0
syn_00042,33599.58,12562.84,0.3739,14755.33,12,17,17.3,10.9,189,0.8625,0.1057,4.56,0.362,0.32,-0.1236,0.876,18220.18,0.2281,1
syn_00043,58771.34,5807.67,0.0988,50059.83,12,19,22.4,21.9,491,0.9426,0.0505,4.81,0.672,0.408,0.0863,1.086,28261.51,0.1675,0
syn_00044,24501.28,16667.46,0.6803,9800.51,4,4,10.4,5.4,56,0.776,0.2606,4.45,0.366,0.404,-0.3081,0.692,13712.74,0.346,1
syn_00045,35176.61,13910.24,0.3954,14311.25,12,16,18.7,13.9,260,0.8639,0.0939,4.62,0.517,0.427,-0.0807,0.919,17569.17,0.2412,1
syn_00046,46796.64,16170.19,0.3455,22541.36,9,9,18.3,9.8,180,0.8994,0.1158,4.63,0.399,0.386,0.0556,1.056,26658.41,0.1866,1
syn_00047,72398.68,14678.63,0.2027,50380.74,12,35,24.4,20.4,497,0.9277,0.0523,4.78,0.556,0.373,0.0295,1.029,41268.44,0.1406,0
syn_00048,59062.27,6226.56,0.1054,49722.43,12,25,28.4,18.3,517,0.9481,0.0331,4.97,0.307,0.418,-0.0193,0.981,29461.58,0.1401,0
syn_00049,24056.46,16242.92,0.6752,9622.58,9,9,14.7,5.9,86,0.748,0.2674,4.28,0.636,0.231,-0.1291,0.871,9980.7,0.3813,0
syn_00050,21744.89,12377.37,0.5692,8697.96,12,12,12.2,5.3,64,0.707,0.3086,4.1,0.439,0.287,-0.25,0.75,10709.81,0.2985,1
syn_00051,32492.1,10088.4,0.3105,17359.49,12,15,17.0,10.1,170,0.8698,0.0977,4.73,0.699,0.326,-0.0666,0.933,15386.54,0.2303,1
syn_00052,42999.21,11264.98,0.262,26101.74,9,9,22.3,10.2,228,0.8391,0.0633,4.62,0.51,0.31,-0.0201,0.98,19130.11,0.1022,0
syn_00053,52967.69,5586.5,0.1055,44587.94,12,34,28.0,21.5,603,0.9461,0.0235,4.9,0.389,0.258,0.0317,1.032,30126.4,0.061,0
syn_00054,30082.17,11430.72,0.38,12936.09,8,8,17.2,12.9,222,0.8438,0.0689,4.56,0.567,0.251,0.0161,1.016,13054.34,0.3036,1
syn_00055,48416.06,4452.88,0.092,41736.74,12,44,23.5,13.2,310,0.9327,0.0392,4.85,0.407,0.356,0.1285,1.129,25739.75,0.2139,0
syn_00056,61956.05,7510.63,0.1212,50690.1,12,34,28.6,19.9,569,0.9298,0.0534,4.86,0.407,0.335,0.1289,1.129,31904.72,0.1646,0
syn_00057,30787.12,11914.19,0.387,12915.84,12,12,22.9,12.2,278,0.8372,0.0845,4.5,0.632,0.252,0.0603,1.06,14922.42,0.1529,1
syn_00058,76800.6,15540.19,0.2023,53490.32,12,22,26.2,18.4,481,0.9666,0.0188,4.96,0.367,0.385,0.0338,1.034,38109.72,0.084,0
syn_00059,55851.17,7512.06,0.1345,44583.08,12,36,24.0,16.2,389,0.9703,0.0249,4.88,0.405,0.349,0.0452,1.045,23046.1,0.1607,0
syn_00060,67098.97,8507.76,0.1268,54337.34,12,32,27.4,14.0,382,0.9253,0.0464,4.86,0.62,0.374,0.0877,1.088,36952.72,0.103,0
syn_00061,59551.16,5527.63,0.0928,51259.72,12,35,28.4,14.2,404,0.9865,0.0323,4.79,0.64,0.262,0.0584,1.058,27009.73,0.1823,0
syn_00062,79605.38,16889.74,0.2122,54270.77,12,24,22.3,19.4,431,0.9848,0.019,4.88,0.67,0.443,0.1331,1.133,36659.55,0.0415,0
syn_00063,26206.55,17040.96,0.6503,10482.62,8,8,11.6,10.0,115,0.6563,0.2652,4.2,0.426,0.335,-0.3138,0.686,12074.47,0.1864,1
syn_00064,40517.83,16093.5,0.3972,16377.58,12,13,20.3,10.4,211,0.8224,0.1383,4.51,0.699,0.288,0.0512,1.051,16700.9,0.177,1
syn_00065,37597.51,12989.98,0.3455,18112.54,12,14,22.1,14.9,329,0.8968,0.0976,4.61,0.393,0.211,0.0196,1.02,21727.8,0.1445,1
syn_00066,61688.74,8254.31,0.1338,49307.28,12,47,26.8,15.0,400,0.9865,0.0493,4.77,0.545,0.242,0.0335,1.034,25357.38,0.1769,0
syn_00067,27255.51,16023.16,0.5879,10902.21,5,5,13.9,8.1,111,0.6892,0.1771,4.19,0.362,0.404,-0.2941,0.706,14444.74,0.3081,1
syn_00068,65183.18,10625.61,0.163,49244.76,12,24,26.1,13.8,360,0.9814,0.0233,4.78,0.562,0.338,0.1277,1.128,27870.66,0.178,0
syn_00069,59926.03,6973.32,0.1164,49466.05,12,30,27.1,17.5,472,0.9257,0.021,4.91,0.439,0.37,-0.0348,0.965,30021.19,0.1779,0
syn_00070,45572.6,17294.13,0.3795,19631.41,12,12,20.6,14.1,290,0.9067,0.1238,4.71,0.363,0.42,0.0104,1.01,21705.21,0.1773,1
syn_00071,25735.62,10840.83,0.4212,10294.25,3,3,11.7,9.5,110,0.6773,0.3118,4.45,0.404,0.359,-0.1978,0.802,13963.95,0.1761,1
syn_00072,51423.38,9592.72,0.1865,37034.3,12,41,25.8,21.7,558,0.9439,0.0416,4.96,0.42,0.377,-0.0295,0.971,23779.35,0.2224,1
syn_00073,59068.26,9860.16,0.1669,44278.02,12,35,22.3,20.8,465,0.9881,0.0584,4.92,0.478,0.268,-0.024,0.976,35150.49,0.1663,0
syn_00074,20868.03,9022.49,0.4324,8347.21,7,7,15.4,9.2,140,0.6875,0.1573,4.39,0.473,0.436,-0.1536,0.846,8552.29,0.2811,1
syn_00075,60723.02,7189.01,0.1184,49939.51,12,37,28.9,16.7,481,0.9826,0.0215,4.8,0.374,0.417,-0.0438,0.956,31958.21,0.146,0
syn_00076,44895.66,16710.38,0.3722,19830.09,12,20,20.4,9.8,199,0.8233,0.1429,4.65,0.574,0.308,0.0332,1.033,25884.07,0.1534,1
syn_00077,50054.69,8082.63,0.1615,37930.74,12,32,23.9,20.2,481,0.9417,0.0328,4.75,0.644,0.395,-0.0355,0.964,25228.17,0.1305,0
syn_00078,51357.77,5848.95,0.1139,42584.35,12,32,28.9,14.3,412,0.9549,0.0409,4.91,0.335,0.288,0.0619,1.062,27461.39,0.0601,0
syn_00079,60701.54,5983.97,0.0986,51725.59,12,20,26.0,19.2,498,0.976,0.02,4.79,0.648,0.379,-0.0291,0.971,27844.09,0.1438,0
syn_00080,44296.5,10454.99,0.236,28614.01,12,13,22.3,12.3,273,0.9017,0.1007,4.66,0.399,0.24,-0.0289,0.971,25854.72,0.1894,1
syn_00081,27686.25,13505.54,0.4878,11074.5,5,5,10.5,9.7,101,0.762,0.2446,4.33,0.572,0.218,-0.1342,0.866,11094.8,0.2038,1
syn_00082,62803.93,12658.64,0.2016,43815.97,12,25,27.1,19.7,533,0.9498,0.0273,4.84,0.475,0.381,0.1475,1.148,26791.76,0.0535,0
syn_00083,76822.46,10681.47,0.139,60800.26,12,44,23.9,18.3,438,0.9839,0.0205,4.89,0.395,0.443,0.0763,1.076,44072.01,0.1249,0
syn_00084,63752.89,7306.87,0.1146,52792.59,12,43,28.1,17.0,477,0.956,0.028,4.89,0.563,0.281,-0.0173,0.983,25891.17,0.1023,0
syn_00085,47396.42,14728.81,0.3108,25303.2,10,10,17.7,9.4,166,0.837,0.1068,4.58,0.367,0.209,0.0406,1.041,26080.22,0.1389,1
syn_00086,37492.62,14578.41,0.3888,15625.01,12,18,21.6,12.5,270,0.9068,0.0785,4.53,0.316,0.231,-0.088,0.912,18512.58,0.1158,0
syn_00087,58117.0,8776.41,0.151,44952.37,12,46,22.3,14.3,319,0.9891,0.0583,4.75,0.567,0.235,0.1404,1.14,24782.04,0.1506,0
syn_00088,70549.78,7637.68,0.1083,59093.26,12,27,26.7,21.7,580,0.9266,0.0436,4.85,0.678,0.371,0.1236,1.124,32556.95,0.0651,0
syn_00089,75804.96,12120.1,0.1599,57624.8,12,36,22.2,21.4,474,0.9683,0.0438,4.8,0.319,0.444,0.0818,1.082,35609.64,0.0863,0
syn_00090,73036.34,11640.7,0.1594,55575.29,12,44,27.2,20.9,568,0.9483,0.0264,4.9,0.627,0.23,0.1116,1.112,32167.92,0.135,0
syn_00091,58386.75,7666.45,0.1313,46887.07,12,18,24.8,19.3,477,0.9472,0.0324,4.8,0.485,0.295,0.0247,1.025,34177.31,0.0864,0
syn_00092,21229.36,8241.36,0.3882,8867.33,8,8,11.7,7.3,85,0.7178,0.2618,4.32,0.682,0.205,-0.1676,0.832,9285.78,0.3921,1
syn_00093,68719.19,14137.21,0.2057,47513.38,12,18,23.7,21.3,505,0.9242,0.0567,4.83,0.516,0.278,-0.0297,0.97,37702.42,0.1073,0
syn_00094,33452.48,10126.39,0.3027,18262.89,12,19,16.9,10.1,169,0.8881,0.0763,4.63,0.685,0.321,0.0131,1.013,16275.89,0.1387,1
syn_00095,28868.25,10006.61,0.3466,13858.34,12,16,22.7,12.6,285,0.9019,0.1396,4.56,0.41,0.406,-0.1012,0.899,14947.82,0.2655,1
syn_00096,51057.13,8543.92,0.1673,38241.26,12,38,25.2,18.3,459,0.9318,0.0468,4.95,0.543,0.337,-0.0067,0.993,30392.89,0.0756,0
syn_00097,67023.24,10023.15,0.1495,51988.52,12,29,28.9,14.2,411,0.9687,0.0302,4.85,0.332,0.221,0.0935,1.094,26926.51,0.1377,0
syn_00098,19203.83,8690.31,0.4525,7681.53,5,5,11.8,5.4,64,0.7382,0.1542,4.44,0.513,0.281,-0.2799,0.72,8142.12,0.3749,1
syn_00099,79812.46,13780.22,0.1727,59142.13,12,38,25.9,19.6,507,0.9526,0.013,4.88,0.48,0.389,0.1415,1.142,36873.28,0.0574,0
syn_00100,73454.4,15411.09,0.2098,50337.76,12,37,23.6,16.6,392,0.9307,0.0596,4.96,0.336,0.389,0.058,1.058,36419.31,0.144,0
syn_00101,73024.9,13087.83,0.1792,53393.15,12,42,22.3,15.7,350,0.9384,0.028,4.77,0.506,0.43,0.1374,1.137,39352.76,0.1093,0
syn_00102,75245.6,8216.18,0.1092,62921.33,12,47,28.5,14.0,400,0.9772,0.029,4.95,0.332,0.301,0.1236,1.124,33258.1,0.1363,0
syn_00103,59075.19,12794.83,0.2166,39882.95,12,38,26.5,20.4,540,0.9293,0.0531,4.96,0.359,0.292,0.0474,1.047,26408.86,0.1431,0
syn_00104,52325.32,11241.37,0.2148,35463.27,12,18,25.8,21.7,560,0.9503,0.0256,4.87,0.548,0.363,0.0379,1.038,24688.9,0.0755,0
syn_00105,72984.37,10536.9,0.1444,57179.01,12,19,22.4,22.0,491,0.924,0.0448,4.98,0.325,0.327,-0.0022,0.998,42018.78,0.0586,0
syn_00106,22997.85,10993.0,0.478,9199.14,11,11,14.0,8.2,114,0.7224,0.1674,4.47,0.631,0.383,-0.2151,0.785,12107.18,0.238,1
syn_00107,36323.08,11487.86,0.3163,19091.29,8,8,16.1,10.6,170,0.896,0.0723,4.63,0.519,0.314,-0.1005,0.899,20041.61,0.1121,1
syn_00108,37764.82,9441.57,0.25,23602.46,9,9,18.3,13.4,245,0.8676,0.0938,4.6,0.615,0.279,-0.0443,0.956,15921.01,0.2306,0
syn_00109,33093.41,12846.01,0.3882,13824.39,12,15,16.3,14.4,234,0.8661,0.1173,4.66,0.595,0.328,0.0559,1.056,15792.62,0.2363,1
syn_00110,29695.84,10787.45,0.3633,13514.67,8,8,16.5,9.4,155,0.8212,0.1461,4.68,0.565,0.246,-0.0688,0.931,15740.56,0.1946,1
syn_00111,69129.69,12928.09,0.187,49737.55,12,20,23.9,13.2,314,0.9258,0.0584,4.82,0.61,0.361,0.1038,1.104,36197.14,0.1247,0
syn_00112,78991.64,15152.18,0.1918,56263.38,12,19,24.0,21.8,524,0.9621,0.0391,4.92,0.671,0.256,0.1124,1.112,45371.29,0.1128,0
syn_00113,62060.96,10290.42,0.1658,46625.32,12,30,28.6,15.2,433,0.9285,0.0199,4.95,0.484,0.41,0.0792,1.079,27108.89,0.0898,0
syn_00114,41123.24,10506.4,0.2555,25363.64,12,20,19.8,14.9,295,0.9137,0.0639,4.54,0.502,0.41,-0.1197,0.88,17947.95,0.2032,1
syn_00115,39806.95,12804.79,0.3217,20599.77,12,16,18.1,12.4,224,0.8889,0.1386,4.66,0.382,0.339,0.0251,1.025,20209.53,0.1246,0
syn_00116,31760.49,9244.75,0.2911,17893.37,12,17,21.5,12.3,264,0.8205,0.1285,4.51,0.431,0.237,0.0215,1.022,12970.52,0.1642,1
syn_00117,79882.7,10509.63,0.1316,64118.25,12,44,25.1,19.5,490,0.982,0.0397,4.84,0.337,0.347,0.0325,1.033,47878.2,0.1159,0
syn_00118,50075.32,8072.03,0.1612,37967.27,12,37,25.9,18.0,467,0.9622,0.0438,4.94,0.323,0.284,0.004,1.004,25055.13,0.2082,1
syn_00119,43772.3,14158.32,0.3235,22534.82,12,19,19.1,9.9,188,0.8528,0.0991,4.52,0.614,0.23,-0.0993,0.901,19823.05,0.1734,1
syn_00120,60282.65,9648.97,0.1601,45809.2,12,43,26.1,14.7,382,0.9454,0.0267,4.76,0.419,0.435,-0.0452,0.955,32877.31,0.1739,0
syn_00121,75927.37,15023.8,0.1979,53391.67,12,30,23.3,20.2,471,0.9521,0.0341,4.78,0.364,0.353,-0.0339,0.966,38017.42,0.1258,0
syn_00122,69022.57,14765.72,0.2139,46873.98,12,40,22.5,13.5,303,0.9398,0.0231,4.81,0.48,0.394,0.1313,1.131,37659.41,0.076,0
syn_00123,49075.64,4356.52,0.0888,42540.86,12,32,28.3,14.3,404,0.9573,0.0306,4.83,0.321,0.305,0.13,1.13,22930.2,0.0651,0
syn_00124,79401.51,9203.76,0.1159,65595.86,12,39,26.6,14.8,392,0.9596,0.0332,4.97,0.39,0.263,0.0717,1.072,45829.03,0.0774,0
syn_00125,21804.08,9086.33,0.4167,8721.63,9,9,15.9,9.3,148,0.6615,0.2886,4.33,0.465,0.363,-0.3255,0.675,10968.78,0.3115,1
syn_00126,64400.08,12422.55,0.1929,45766.26,12,19,25.2,13.5,339,0.975,0.0201,4.81,0.382,0.419,-0.0171,0.983,28893.08,0.0927,0
syn_00127,18104.35,9493.86,0.5244,7241.74,12,12,16.9,9.6,162,0.6546,0.1537,4.29,0.452,0.394,-0.0772,0.923,9060.1,0.3973,1
syn_00128,21803.29,10288.62,0.4719,8721.31,5,5,15.3,8.5,129,0.7579,0.3076,4.27,0.617,0.279,-0.0755,0.925,12393.18,0.3286,1
syn_00129,18599.76,12921.75,0.6947,7439.9,12,12,10.1,6.2,62,0.6813,0.3277,4.37,0.467,0.446,-0.3044,0.696,8870.98,0.3603,0
syn_00130,31319.1,12414.44,0.3964,12697.44,12,18,19.0,10.0,189,0.8213,0.1104,4.63,0.375,0.415,0.0155,1.015,18294.07,0.2983,1
syn_00131,42204.86,11938.49,0.2829,24297.12,12,16,19.3,13.9,268,0.8659,0.0922,4.62,0.396,0.235,0.0405,1.04,23856.2,0.1424,1
syn_00132,71962.44,12317.14,0.1712,53486.73,12,31,26.3,16.2,426,0.9789,0.0336,4.98,0.575,0.217,0.0768,1.077,33445.59,0.0575,0
syn_00133,55269.75,10898.41,0.1972,38922.14,12,43,24.0,18.8,450,0.9686,0.0356,4.82,0.606,0.397,-0.0075,0.993,29802.04,0.0597,0
syn_00134,46143.9,16341.7,0.3541,21631.35,12,12,19.9,9.7,192,0.8647,0.1014,4.72,0.469,0.211,-0.0243,0.976,18671.66,0.1361,1
syn_00135,33600.75,13160.35,0.3917,13860.22,12,22,18.0,14.5,261,0.8954,0.1324,4.5,0.345,0.376,0.0714,1.071,18112.48,0.2488,0
syn_00136,55740.6,4556.05,0.0817,48906.53,12,20,25.3,15.7,397,0.9619,0.0249,4.82,0.567,0.348,0.0986,1.099,23378.78,0.0616,0
syn_00137,16026.6,7318.44,0.4566,6410.64,5,5,15.4,5.2,79,0.7491,0.349,4.46,0.664,0.367,-0.1936,0.806,6951.14,0.3006,1
syn_00138,39435.45,12756.94,0.3235,20300.03,12,22,19.0,10.9,207,0.8635,0.1296,4.65,0.537,0.376,0.0553,1.055,18873.1,0.1689,1
syn_00139,51335.19,6870.27,0.1338,41029.79,12,33,25.4,18.9,479,0.9865,0.04,4.92,0.318,0.235,0.0513,1.051,30072.85,0.1696,0
syn_00140,58603.1,8643.12,0.1475,45638.42,12,47,23.4,18.5,432,0.9396,0.0203,4.87,0.343,0.285,-0.0489,0.951,32594.24,0.0524,0
syn_00141,38253.35,10661.12,0.2787,22261.67,12,17,22.5,11.4,256,0.8287,0.1155,4.53,0.353,0.269,-0.0706,0.929,16263.62,0.1842,0
syn_00142,61152.67,12662.61,0.2071,42158.76,12,30,27.0,18.5,498,0.9417,0.0512,4.97,0.403,0.215,0.1142,1.114,28908.08,0.0493,0
syn_00143,30289.75,8989.02,0.2968,16806.22,12,18,19.2,11.2,215,0.8321,0.0977,4.69,0.445,0.348,-0.1337,0.866,16024.66,0.1479,1
syn_00144,77225.18,12800.87,0.1658,58023.88,12,37,28.1,19.5,548,0.9284,0.0551,4.77,0.418,0.322,0.0568,1.057,46154.3,0.0554,0
syn_00145,30460.07,10104.47,0.3317,15303.36,8,8,18.4,13.4,246,0.8852,0.1361,4.67,0.619,0.406,-0.0511,0.949,16598.41,0.2639,1
syn_00146,20602.81,9931.32,0.482,8241.12,12,13,13.7,7.2,98,0.7522,0.2882,4.39,0.656,0.286,-0.2376,0.762,10587.66,0.2589,1
syn_00147,68666.32,11616.03,0.1692,51242.27,12,18,24.4,13.6,332,0.9487,0.0256,4.91,0.356,0.321,0.0712,1.071,38207.41,0.0915,0
syn_00148,78848.56,10549.06,0.1338,63024.96,12,33,22.3,13.3,295,0.9472,0.018,4.76,0.346,0.439,0.1012,1.101,42747.83,0.0904,0
syn_00149,67294.17,13172.1,0.1957,47536.03,12,44,28.9,15.6,450,0.9873,0.0295,4.84,0.633,0.31,0.0181,1.018,38301.89,0.117,0
syn_00150,54227.96,4775.89,0.0881,47064.12,12,25,24.4,15.4,376,0.9876,0.0379,4.83,0.496,0.3,0.0661,1.066,27720.86,0.0784,0
syn_00151,23104.28,12989.24,0.5622,9241.71,12,12,14.0,6.2,86,0.7172,0.1483,4.3,0.648,0.233,-0.1871,0.813,9407.93,0.2441,1
syn_00152,43884.21,12074.9,0.2752,25771.87,9,9,22.1,14.7,324,0.8349,0.1016,4.75,0.414,0.251,-0.0388,0.961,21163.32,0.2092,1
syn_00153,38225.51,12173.49,0.3185,19965.27,12,14,20.0,14.2,284,0.9181,0.0967,4.71,0.476,0.412,0.0258,1.026,15626.23,0.1947,0
syn_00154,26485.04,13863.92,0.5235,10594.02,3,3,13.1,8.8,114,0.8075,0.144,4.3,0.42,0.29,-0.1437,0.856,12222.68,0.3063,1
syn_00155,32214.1,13255.77,0.4115,12885.64,12,12,16.1,15.0,240,0.8877,0.1346,4.57,0.608,0.365,-0.1467,0.853,13954.22,0.2616,1
syn_00156,40272.08,9573.52,0.2377,25911.81,12,21,19.4,9.5,183,0.8608,0.0966,4.52,0.329,0.439,-0.0698,0.93,17653.39,0.1159,0
syn_00157,50459.59,7573.35,0.1501,39099.56,12,26,27.6,19.4,533,0.9235,0.0136,4.84,0.491,0.257,0.0091,1.009,27439.88,0.1009,0
syn_00158,40069.86,11682.88,0.2916,22545.54,12,23,20.5,9.7,199,0.9089,0.1053,4.61,0.397,0.378,-0.0153,0.985,23466.71,0.1934,1
syn_00159,39050.02,12653.53,0.324,20069.72,12,20,17.0,13.7,232,0.8471,0.1047,4.57,0.504,0.212,-0.1192,0.881,23005.68,0.1992,1
syn_00160,50006.07,9876.57,0.1975,35191.22,12,39,22.0,15.2,335,0.9719,0.0258,4.77,0.616,0.423,0.022,1.022,21575.5,0.1087,0
syn_00161,60074.18,12914.2,0.215,40702.87,12,45,22.6,19.2,434,0.9546,0.0294,4.9,0.604,0.438,0.0908,1.091,34038.59,0.0506,0
syn_00162,30107.3,11331.33,0.3764,13110.31,12,12,20.5,9.3,190,0.856,0.1461,4.63,0.448,0.213,-0.0505,0.95,16806.6,0.2241,1
syn_00163,44443.6,17336.1,0.3901,18439.45,12,14,17.5,12.9,226,0.8672,0.1392,4.55,0.426,0.361,0.0059,1.006,24041.31,0.172,1
syn_00164,54374.89,11126.74,0.2046,37684.78,12,39,24.0,16.3,391,0.9241,0.0156,4.87,0.435,0.205,0.0035,1.004,32465.14,0.1935,0
syn_00165,63771.67,8711.25,0.1366,50704.8,12,30,25.7,18.4,472,0.9207,0.0332,4.97,0.69,0.231,0.0538,1.054,34285.38,0.1427,0
